아파트ID,아파트명,지번주소,위도,경도,세대수,임대수,동수,주차대수,용적률,건폐율,건설사
145017,개포자이르네,서울시 강남구 개포동 656-3,37.478654,127.055232,28,0,1,38,199,57,자이에스앤디
1298,개포주공5단지,서울시 강남구 개포동 187,37.487824,127.068039,940,0,6,912,151,12,대한주택공사
1303,개포주공6단지,서울시 강남구 개포동 185,37.488645,127.070472,1060,0,9,300,0,0,대한주택공사
1307,개포주공7단지,서울시 강남구 개포동 185,37.489561,127.072416,900,0,8,400,0,0,대한주택공사
128527,개포프레지던스자이,서울시 강남구 개포동 189번지 일원,37.485251,127.07162,3375,220,35,5881,249,18,㈜GS건설
134062,디에이치퍼스티어아이파크,서울시 강남구 개포동 660-1,37.479956,127.058861,6702,393,74,13154,249,19,"현대건설(주), 현대산업개발"
140453,N168(도시형),서울시 강남구 논현동 128-6,37.51311,127.029438,132,0,1,69,359,59,태평양개발(주)
17533,강남파라곤,서울시 강남구 논현동 241-1,37.516614,127.040137,58,0,1,41,789,58,(주)동양고속건설
8431,거평프리젠,서울시 강남구 논현동 196,37.506376,127.027679,113,0,1,72,332,36,거평건설주식회사
1332,경남논현,서울시 강남구 논현동 274,37.51065,127.038175,60,0,1,60,222,34,경남기업(주)
105408,골든캐슬,서울시 강남구 논현동 103-11,37.519667,127.03883,7,0,1,13,199,40,아시아건설주식회사
26196,그랑디오스,서울시 강남구 논현동 268-12,37.511248,127.042796,15,0,1,31,242,54,씨앤엔종합건설(주)
136172,기린힐스(도시형),서울시 강남구 논현동 130-9,37.512999,127.030891,249,0,1,169,295,43,대림건설주식회사
144406,꿈꾸지오(도시형),서울시 강남구 논현동 269-1,37.511581,127.041822,28,0,2,16,198,59,더존건설주식회사
14671,논현e-편한세상,서울시 강남구 논현동 195-1,37.506748,127.029156,63,0,1,95,249,26,(주)삼호건설
104277,논현대우멤버스카운티,서울시 강남구 논현동 30-2,37.516721,127.027782,19,0,1,38,149,46,대우건설
138264,논현더라움,서울시 강남구 논현동 242-45,37.515216,127.041199,16,0,1,8,230,49,자산건설(주)
8936,논현동부센트레빌,서울시 강남구 논현동 275,37.51035,127.037717,160,0,4,239,298,20,동부건설(주)
8971,논현동양파라곤,서울시 강남구 논현동 245,37.514851,127.038281,203,0,4,572,264,22,동양고속건설(주)
9765,논현두산위브1단지,서울시 강남구 논현동 252-1,37.513536,127.038366,130,0,2,174,226,27,두산산업개발(주)
101321,논현두산위브2단지,서울시 강남구 논현동 258,37.51257,127.038141,136,0,2,176,244,28,두산산업개발(주)
106971,논현라폴리움,서울시 강남구 논현동 252,37.514108,127.038845,18,0,1,72,185,27,삼성중공업(주)
108089,논현멤버스카운티,서울시 강남구 논현동 24,37.514187,127.023268,11,0,1,19,149,44,
10727,논현베르빌,서울시 강남구 논현동 214-2,37.512671,127.032812,65,0,1,121,270,34,(주)건설알포메
102760,논현브라운스톤로얄스위트,서울시 강남구 논현동 43-3,37.513295,127.024298,19,0,1,43,202,43,이수건설(주)
127488,논현빌라트,서울시 강남구 논현동 102-9,37.519248,127.039963,10,0,1,8,264,59,
18,논현신동아파밀리에,서울시 강남구 논현동 22,37.514887,127.022874,644,0,6,684,245,26,신동아건설(주)
121973,논현아이파크,서울시 강남구 논현동 225-6,37.510461,127.036084,99,0,1,276,359,51,HDC아이앤콘스(주)
121579,논현아테나니케,서울시 강남구 논현동 28-17,37.515026,127.026998,12,0,1,19,149,41,(주)넥서스건설
13165,논현아트빌,서울시 강남구 논현동 215-14,37.512423,127.032238,11,0,1,14,242,49,참진건설
26416,논현아펠바움1차,서울시 강남구 논현동 250,37.513417,127.037033,38,0,4,74,0,0,에스케이건설(주)
103939,논현아펠바움2차,서울시 강남구 논현동 260,37.512642,127.036941,38,0,3,144,0,0,에스케이건설(주)
22828,논현월드메르디앙,서울시 강남구 논현동 212-13,37.51359,127.033897,82,0,1,107,236,27,(주)월드건설
27822,논현웰스톤,서울시 강남구 논현동 108,37.518399,127.03801,38,0,1,91,296,59,아시아건설(주)
105512,논현인텔리전트하우스,서울시 강남구 논현동 9-2,37.517641,127.026877,19,0,1,8,226,52,
109991,논현테크노빌,서울시 강남구 논현동 266-21,37.512167,127.041675,10,0,2,18,149,53,(주)윈테크플랜
137945,논현파크빌(도시형),서울시 강남구 논현동 122-17,37.510615,127.023885,27,0,1,9,194,49,
126259,논현팰리스(도시형),서울시 강남구 논현동 187-7,37.507057,127.028169,39,39,2,20,199,56,주식회사보경종합건설
138046,논현펜트힐캐스케이드(도시형),서울시 강남구 논현동 106,37.518148,127.035771,130,0,1,183,400,51,롯데건설
100691,논현프라임(192-3),서울시 강남구 논현동 192-3,37.508157,127.032836,19,0,1,34,255,43,(주)프라임씨엔씨
9618,논현한가람,서울시 강남구 논현동 105-3,37.51872,127.03742,32,0,1,43,235,32,영동연립재건축조합
11616,논현한진로즈힐,서울시 강남구 논현동 105-4,37.520834,127.037141,81,0,2,124,222,30,(주)한진중공업건설부문
18195,논현한화꿈에그린,서울시 강남구 논현동 205-2,37.50705,127.030837,70,0,2,70,250,58,(주)한화건설
22571,논현한화꿈에그린2차,서울시 강남구 논현동 194-23,37.50757,127.03082,46,0,1,0,246,52,(주)한화건설
128649,논현힐스빌5차,서울시 강남구 논현동 32-4,37.517484,127.027858,7,0,1,20,149,39,(주)제이티건설
122670,논현힐스빌6차,서울시 강남구 논현동 32-3,37.517497,127.027543,4,0,1,11,149,40,(주)제이티건설
13362,더그레이스,서울시 강남구 논현동 212-20,37.513015,127.034165,9,0,1,12,211,47,이례건설(주)
121423,더원센트럴,서울시 강남구 논현동 118-8,37.517187,127.039719,29,0,1,19,433,59,(주)수영종합건설
118925,더케이(도시형),서울시 강남구 논현동 110-12,37.518065,127.039132,16,0,1,7,199,59,(주)향진종합건설
114271,더클래식논현(도시형),서울시 강남구 논현동 23-8,37.513715,127.022833,14,0,2,20,149,55,석장건설주식회사
120589,동광팰리스(도시형),서울시 강남구 논현동 104-5,37.519331,127.038519,38,0,2,21,194,53,
3,동현,서울시 강남구 논현동 105,37.51938,127.036753,548,0,6,620,174,15,동산토건
114469,"동화(민간임대,도시형)",서울시 강남구 논현동 122-8,37.510668,127.023389,236,236,1,187,395,59,한신공영(주)
22333,두영,서울시 강남구 논현동 216-1,37.512172,127.032377,17,0,1,20,252,49,두영건설(주)
118649,라디안,서울시 강남구 논현동 47-10,37.513091,127.02252,10,0,1,13,221,56,이앤시종합건설(주)
107896,라이헤스빌,서울시 강남구 논현동 109-9,37.518756,127.038718,13,0,1,15,257,59,케이씨종합건설(주)
103370,로체샤르캐슬,서울시 강남구 논현동 114-23,37.517255,127.036916,17,0,1,28,199,46,(주)가남종합건설
144649,루시아도산208(도시형),서울시 강남구 논현동 60-1,37.519658,127.029458,55,0,1,48,568,38,DL건설
101877,리더스빌,서울시 강남구 논현동 192-1,37.508253,127.032484,19,0,1,28,262,59,(주)리더스시오
117690,리츠하우스,서울시 강남구 논현동 25-2,37.514456,127.025029,12,0,1,46,165,45,하광주택건설(주)
106453,마블하우스,서울시 강남구 논현동 267-23,37.512389,127.042408,12,0,1,25,200,34,(주)주완건설
10825,마일스디오빌,서울시 강남구 논현동 58-2,37.51379,127.02892,260,0,1,200,599,54,(주)대우건설
103839,벨러스빌,서울시 강남구 논현동 47-11,37.512966,127.022639,10,0,1,18,239,58,kc건설(주)
105867,보노체아(도시형),서울시 강남구 논현동 193-4,37.508101,127.031525,22,0,1,7,199,58,(주)비에이치종합건설
106267,비쥬힐,서울시 강남구 논현동 39-10,37.514834,127.027366,10,0,1,11,279,52,금강산업개발(주)
106667,삼성빌라트,서울시 강남구 논현동 79-5,37.516543,127.031359,19,0,1,21,227,39,(주)중이건설
18190,세호시티라이프,서울시 강남구 논현동 122-25,37.510475,127.024334,19,0,1,22,268,59,(주)삼풍
107165,스위트캐슬,서울시 강남구 논현동 35-1,37.516456,127.028498,16,0,2,33,149,44,유엘아이엠컨설턴트(주)
105430,스위트케슬레지던스,서울시 강남구 논현동 55,37.512535,127.023889,17,0,1,38,266,57,유엘아이엠건설주식회사
103455,신동아,서울시 강남구 논현동 222-18,37.51024,127.034088,12,0,2,0,87,0,신동아건설(주)
29,쌍용,서울시 강남구 논현동 103,37.519716,127.038185,111,0,1,105,333,37,남광토건주식회사
137269,아나하(도시형),서울시 강남구 논현동 247-1,37.514213,127.036847,16,0,1,30,149,57,(주)제이빌더스
141007,아츠논현(도시형),서울시 강남구 논현동 249-9,37.512201,127.036029,24,0,1,0,512,53,
108825,아크로힐스논현,서울시 강남구 논현동 276-1,37.509594,127.038948,368,34,4,645,299,24,대림산업(주)
113911,알파임하우스Ⅱ,서울시 강남구 논현동 24-11,37.514256,127.023934,16,0,2,50,173,46,우연종합건설주식회사
18191,애플타운,서울시 강남구 논현동 16-42,37.515053,127.021164,19,0,1,16,265,50,승민종합건설주식회사
16236,예원베스트빌,서울시 강남구 논현동 229-21,37.509113,127.035188,8,0,1,11,217,59,(주)삼중종합건설
142720,요진보네르,서울시 강남구 논현동 46-3,37.513054,127.022962,9,0,1,13,231,59,요진산업주식회사
140981,우림빌(도시형),서울시 강남구 논현동 188-6,37.507402,127.029313,19,0,1,6,199,59,(주)신원개발
8774,우민,서울시 강남구 논현동 107-44,37.51787,127.03739,70,0,1,75,269,47,(주)영화종합기술단 건축사사무소
25173,우성,서울시 강남구 논현동 180-6,37.507577,127.028082,14,0,1,18,239,39,우성휠건설(주)
16231,월드노블레스빌,서울시 강남구 논현동 45,37.513538,127.023141,12,0,1,23,234,59,월드공영주식회사
105458,월드쉐르빌,서울시 강남구 논현동 138-9,37.510284,127.026093,15,0,1,14,243,53,부광종합건설(주)
106262,은탑리더스카운티,서울시 강남구 논현동 44-6,37.513292,127.023902,18,0,1,30,299,59,은탑산업개발(주)
103299,이산,서울시 강남구 논현동 194-22,37.507194,127.030722,10,0,1,12,198,49,(주)이산종합건설
107144,이움,서울시 강남구 논현동 229-13,37.50924,127.034123,10,0,1,17,199,43,
22667,제이빌,서울시 강남구 논현동 108-2,37.518118,127.037832,32,0,1,32,242,40,정일종합건설(주)
24205,지고하임,서울시 강남구 논현동 44-8,37.513713,127.023693,33,0,2,32,271,43,지고C&D
3042,청학,서울시 강남구 논현동 62-3,37.520645,127.032822,70,0,3,50,220,51,청학
103371,케럿스테이트,서울시 강남구 논현동 267-18,37.512657,127.042178,16,0,1,26,245,49,(주)대신종합건설
106953,케이씨빌,서울시 강남구 논현동 104-23,37.519018,127.038771,12,0,1,19,199,36,케이씨종합건설(주)
10831,테크노빌라트,서울시 강남구 논현동 271-6,37.511222,127.040244,18,0,1,19,231,52,(주)윈테크플랜
102051,토미빌(228-9),서울시 강남구 논현동 228-9,37.508967,127.033855,24,0,3,47,188,50,(주)토미종합건설
127036,펜트힐루논현(도시형),서울시 강남구 논현동 211-21,37.513806,127.035001,131,0,1,175,479,51,롯데건설 (주)
25838,프라임(196-4),서울시 강남구 논현동 196-4,37.506589,127.028423,19,0,1,38,226,35,(주)프라임씨앤씨
24032,프라임(80-13),서울시 강남구 논현동 80-13,37.51623,127.030617,28,0,1,40,246,38,더블유이종합건설(주)
22907,학동참진,서울시 강남구 논현동 217-34,37.51262,127.03383,18,0,1,24,199,43,참진건설
11608,한양빌라트,서울시 강남구 논현동 79-7,37.517065,127.031307,19,0,1,32,253,45,
105866,한양수자인어반게이트(도시형),서울시 강남구 논현동 221-7,37.509749,127.033574,108,0,1,37,249,48,(주)한양건설
3043,현대넥서스(261-7),서울시 강남구 논현동 261-7,37.511845,127.036533,18,0,1,38,266,37,현대건설(주)
9360,현대넥서스(261-8),서울시 강남구 논현동 261-8,37.511596,127.036864,16,0,1,22,249,39,(주)현대건설
9395,현대인텔렉스,서울시 강남구 논현동 261,37.511673,127.036354,42,0,1,105,1045,60,고려산업개발 주식회사
25646,휴먼스페이스,서울시 강남구 논현동 192-15,37.507676,127.033476,18,0,1,19,309,58,황해건설(주)
103607,힐스빌7차,서울시 강남구 논현동 46-2,37.513274,127.022895,9,0,1,19,268,58,(주)제이티건설
10788,힐타워,서울시 강남구 논현동 53-1,37.512492,127.023086,16,0,1,25,299,59,은탑산업개발(주)
144828,힐튼빌(도시형),서울시 강남구 논현동 271-9,37.511114,127.040727,14,0,1,10,199,59,(주)토미하우스
